"","WARD_Name","injunctions_n"
"1","Abbey",4
"2","Abbey Hill",1
"3","Abbey Hulton",1
"4","Abbey Road",1
"5","Abbey Wood",1
"6","Abbeydale",1
"7","Abbeygate",1
"8","Abbeymead",1
"9","Abbots Langley & Bedmond",1
"10","Aber Valley",1
"11","Aber-craf and Ystradgynlais",1
"12","Aberaeron and Aberarth",1
"13","Aberaman",1
"14","Aberavon",1
"15","Aberbargoed and Bargoed",1
"16","Abercarn",1
"17","Abercynon",1
"18","Aberdare East",1
"19","Aberdare West and Llwydcoed",1
"20","Aberdulais",1
"21","Aberdyfi",1
"22","Abererch",1
"23","Abergwili",1
"24","Aberkenfig",1
"25","Abermaw",1
"26","Aberporth and Y Ferwig",1
"27","Abersoch gyda Llanengan",1
"28","Abersychan",1
"29","Abertillery and Six Bells",1
"30","Aberystwyth Morfa a Glais",1
"31","Aberystwyth Penparcau",1
"32","Aberystwyth Rheidol",1
"33","Abingdon",1
"34","Abingdon Abbey Northcourt",1
"35","Abingdon Caldecott",1
"36","Abingdon Dunmore",1
"37","Abingdon Fitzharris",1
"38","Abingdon Peachcroft",1
"39","Abington & Phippsville",1
"40","Abram",1
"41","Acklam",1
"42","Ackworth, North Elmsall and Upton",1
"43","Acle",1
"44","Acocks Green",1
"45","Acomb",1
"46","Acrefair North",1
"47","Acton and Maesydre",1
"48","Adamsdown",1
"49","Adderbury, Bloxham and Bodicote",1
"50","Addiscombe East",1
"51","Addiscombe West",1
"52","Addison",1
"53","Addlestone North",2
"54","Addlestone South",1
"55","Adel & Wharfedale",1
"56","Adeyfield East",2
"57","Adeyfield West",1
"58","Adlington & Anderton",1
"59","Admaston & Bratton",1
"60","Admirals and Cawston",1
"61","Adwick le Street & Carcroft",1
"62","Aethwy",1
"63","Aggborough & Spennells",1
"64","Aigburth",1
"65","Ainsdale",1
"66","Aire Valley",1
"67","Airedale and Ferry Fryston",1
"68","Airfield",1
"69","Aiskew & Leeming",1
"70","Albrighton",1
"71","Alcester East",1
"72","Alcester West",1
"73","Alconbury",1
"74","Aldborough",1
"75","Aldbourne & Ramsbury",1
"76","Aldbury and Wigginton",1
"77","Aldeburgh & Leiston",1
"78","Aldenham East",1
"79","Aldenham West",1
"80","Alderbury & Whiteparish",1
"81","Alderley Edge",1
"82","Aldermaston",1
"83","Alderney & Bourne Valley",1
"84","Aldersgate",1
"85","Aldershot Park",1
"86","Aldgate",1
"87","Aldridge Central and South",1
"88","Aldridge North and Walsall Wood",1
"89","Aldwick East",1
"90","Aldwick West",1
"91","Alexandra",3
"92","Alexandra Park",1
"93","Alfold, Dunsfold & Hascombe",1
"94","Alford",1
"95","Alfreton",1
"96","Alfrick, Leigh & Rushwick",1
"97","Alibon",1
"98","Alkham & Capel-le-Ferne",1
"99","All Saints",1
"100","All Saints & Wayland",1
"101","Allens Cross",1
"102","Allerton",1
"103","Allestree",1
"104","Allington & Bridge",1
"105","Allington & Strete",1
"106","Allt-wen",1
"107","Allt-yr-yn",1
"108","Almond Hill",1
"109","Almondbury",1
"110","Alnwick Castle",1
"111","Alnwick Hotspur",1
"112","Alperton",1
"113","Alphington",1
"114","Alport & South West Parishes",1
"115","Alresford & Elmstead",1
"116","Alresford and Itchen Valley",1
"117","Alrewas & Fradley",2
"118","Alsager",1
"119","Alston & Hothersall",1
"120","Alston and Fellside",1
"121","Altarnun & Stoke Climsland",1
"122","Altham",1
"123","Althorne",1
"124","Altofts and Whitwood",1
"125","Alton",1
"126","Alton Amery",1
"127","Alton Ashdell",1
"128","Alton Eastbrooke",1
"129","Alton Holybourne",1
"130","Alton Westbrooke",1
"131","Alton Whitedown",1
"132","Alton Wooteys",1
